MALE      = mężczyzna
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_GOOD1    = und Du hast Deine Produktionsschwerpunkte sehr gut verteilt!

#PLANNED_LIVE_TIMESPAN_TODAY_FROM_X_OCLOCK     = Live-Ausstrahlung heute: ab %X% Uhr.
#PLANNED_LIVE_TIMESPAN_TOMORROW_FROM_X_OCLOCK  = Live-Ausstrahlung morgen: ab %X% Uhr.
#PLANNED_LIVE_TIMESPAN_IN_Y_DAYS_FROM_X_OCLOCK = Live-Ausstrahlung in %Y% Tagen: ab %X% Uhr.
#PLANNED_LIVE_TIME_TODAY_FROM_X_OCLOCK         = Live-Ausstrahlung heute: %X% Uhr.
#PLANNED_LIVE_TIME_TOMORROW_FROM_X_OCLOCK      = Live-Ausstrahlung morgen: %X% Uhr.
#PLANNED_LIVE_TIME_IN_Y_DAYS_FROM_X_OCLOCK     = Live-Ausstrahlung in %Y% Tagen: %X% Uhr.

#CLICK_TO_SELECT_PERSON = Klicken um Person auszuwählen
#TOUCH_TO_SELECT_PERSON = Antippen um Person auszuwählen

#COULISSE             = Kulissen
#OUTFIT_AND_MASK      = Ausstattung / Maske
#STUNTS               = Stunts
#VFX_AND_SFX          = VFX / SFX
#TEAM                 = Team (Techniker, etc.)
#PRODUCTION_SPEED     = Produktionstempo
#PRODUCTION_POTENTIAL = Potenzial
#SCRIPT_POTENTIAL     = Potenzial

#PRODUCTION         = Produktion
#TOTAL_COSTS        = Gesamtkosten
#DURATION           = Dauer
#SUBHEADING         = Untertitel
#PRODUCTION_DETAILS = Produktionsdetails
#PRODUCTION_FOCUS   = Produktionsschwerpunkte
#IN_PRODUCTION      = In Produktion

#POINTSSET_OF_POINTSMAX_POINTS_SET                           = %POINTSSET%/%POINTSMAX% Punkte vergeben
#PRODUCTION_FOCUS_POINTS_NOT_SET_COMPLETELY                  = Produktionsschwerpunkte nicht komplett gesetzt
#NEED_TO_SPENT_AT_LEAST_ONE_POINT_OF_PRODUCTION_FOCUS_POINTS = Mindestens einen Punkt bei den Schwerpunkten setzen
#NO_PRODUCTION_COMPANY_SELECTED                              = Keine Produktionsfirma ausgewählt
#PRODUCTION_SETUP_NOT_DONE                                   = Produktion noch nicht konzipiert
#PRODUCTION_SETUP_INCOMPLETE                                 = Produktionskonzept unvollständig
#CAST_INCOMPLETE                                             = Besetzung unvollständig
#EPISODES_NOT_IN_ORDER                                       = Episoden nicht in richtiger Reihenfolge
#PRODUCTION_CONCEPTS                                         = Einkaufslisten
#PRODUCTION_DEPOSIT_PAID                                     = Anzahlung (%MONEY%) geleistet.

#SELECT_PERSON      = Person auswählen
#FINISHED_PLANNING  = Planung abgeschlossen
#FINISH_PLANNING    = Planung abschließen
#AND_PAY_DOWN_MONEY = und %money% anzahlen
#PLANNING           = Planung ...
#MONEY_TO_PAY_DOWN  = %money% anzuzahlen
#TAKE_OVER_SETTINGS = Einstellungen übernehmen
#PRODUCTION_COMPANY = Produktionsfirma
#EDIT_TEXTS         = Texte ändern
#TITLE              = Titel
#DESCRIPTION        = Beschreibung
#EPISODE            = Folge
#ABBREVIATION_YEARS = J.

#STUDIO_MANAGER         = Studioleiter
#STUDIO_MANAGER_TOOLTIP = Gibt Informationen zu geplanten Produktionen und händigt Einkaufslisten aus

#THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = Die Lizenz "%TITLE%" steht Dir nun zur Verfügung.
#TOTAL_PRODUCTION_COSTS_WERE_X            = Die Gesamtkosten betrugen %TOTALCOST%.
